balance,block_time,dao_address,uni_vote_count,voter_address
0,2024-01-13 18:30:59.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,3,0x00000000cf40aa13fa8223f034926a376366bf34
1,2022-05-22 07:24:06.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,4,0x000631989ad80246d4e847a9687b4a2bf7d4ec4c
1.445788214,2023-07-20 03:00:23.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,4,0x000642d10806bb0f88562e5256e6de4af6923959
0,2024-06-23 04:45:35.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,2,0x003a9a3409fb0a02be696e199a559e5a48e6f8cc
0.1,2023-10-17 09:00:11.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,1,0x0053c550f48c1c1d815bb81e735911e19130ca1a
,,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,1,0x008a1754f33d9c74435af6b78240d9b97c268491
0,2024-04-15 05:40:35.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,3,0x019f57dc04291a1290d27c30349516edcef2a454
1.1,2022-05-16 13:22:54.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,10,0x01f0729390c53a01a6c1afc36c3804cc1c3eaead
,,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,1,0x023e21eae6cae15151a4d0c321886fdcf5a35084
,,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,1,0x024d67963063932889350a3469bf8db7e77c1ef3
,,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,1,0x02699223ce2ec5de8e2b8e326847e02b07e5a619
0.3,2022-12-03 02:23:59.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,1,0x03050f0969c1a6d78b499fc1840c4f3dc4fdf639
0.202860475,2022-12-05 13:48:23.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,2,0x0318d38dcb790e4014935d708874833560bb0d40
0.18,2023-09-20 04:28:11.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,9,0x0377b3c13f9daf1ce7a8cb492f5bdf04bfd9895d
2,2022-08-06 17:00:11.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,1,0x03c84f943de4cf7bbc40117eb75eda994eb0e240
1.1,2022-03-02 04:29:53.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,10,0x03c855665161246a40a02869c7879f8d99683bf5
0.236883151,2022-09-10 08:44:29.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,1,0x043ae20844648f227394e3a0d3bc6b588e0051ef
1,2023-10-04 05:10:35.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,5,0x052848b7a0927d67942645c9b255a38509a6630a
1,2023-10-04 04:21:11.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,4,0x0594a2daa6015bc74e6a5fc8617866815723d2f9
,,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,2,0x05b14d47f29bbbd681fafb5a0b69120fdadf4ac0
,,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,1,0x05b1dc159a92b6cec407c649c6b17d8311fd85ec
1,2022-11-29 10:09:23.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,3,0x05dcaa0657a159291bdd5b4e2f0514df4fbc9fbf
1.20678613,2025-02-09 06:36:59.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,8,0x064145c2668c0c06df9a4d9878fdb8682f00eb69
0,2024-07-07 03:50:59.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,4,0x06457265b27593160fc3476a3bea6b8932650c9b
0.674471111,2022-09-25 00:52:23.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,8,0x066457731fd093c89e3cf91cd927069221e4bd3d
0.118101684,2022-11-24 06:40:11.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,1,0x071ca364d7b37df137de2e033615d8d8cf677095
,,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,1,0x0759489989bd2d363cdd452d467278bd8a149211
1.118527579,2023-09-30 08:03:35.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,1,0x07de1d78f8ce91d065d8329c26af780b4a011678
1.469598835,2021-05-26 06:58:57.000 UTC,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,8,0x082a7745762a21089d79b7ae877d77481adb823e
,,0x408ed6354d4973f66138c91495f2f2fcbd8724c3,1,0x08b6259203111b7e33297848b6120492e30e9e6f
