voter_address,address_type
0x7fbde8b27d2b4f164b66f2a9dc02bbd6697e5b19,EOA
0xcfe112a2c3b8fd88c3fced8fafd388de4463a57f,EOA
0xb5b20e80552d3bf2ba69e0aaf79ed7d905bd014b,EOA
0x5702a96640a8e5f022d702af2ba9cba54dfc69a5,EOA
0x0f12a288a166a10a559c520ec46a34fcffaccdb6,EOA
0x4dcf7b8d146fa9d305a296f865f66c3499b9d1d0,EOA
0xffa5e3885ae778a7ce2757fb7a2b77614389aa65,EOA
0xa8cc8102e2b5c7899ed51f3c54b1e0931a0d8b31,EOA
0xc31b03cd286635c88282a63bb7230fd1a97d6bf1,EOA
0x952c23f8f067a5e7e165ff0e42491f51d87dbc95,EOA
0xdd45542ccf17a16f5c515c20db7f7c7d8bb74cc5,EOA
0x0ff9b6ab6ec58ceb6d5ae8a1690dd5a0959ad002,EOA
0x4819e009697405c96cde77f30312a62c1bceca47,EOA
0x4ea01e810180d9264f20e1141f09a8b90ab0a413,EOA
0x8240a9daedb22e2a78fca3b5afe27b76b6c51bf2,EOA
0x331a30275346fc10ed6c2fbc6826ad0cda34fa7c,EOA
0x9b13ebdaf067738c6b2476354efb2cfe12d74f51,EOA
0xe96d0436e18852eb177a9a5dd3ece1cc8c75c2bb,EOA
0x732b0004deaa5e6dce8c931b87b4b5efca7755f4,EOA
0x866c7155c9b63bc191daad113d0e0931cbd1f379,EOA
0x84422dc885bf30fd932e586efe36b0dc20cfcf92,EOA
0x4bb3d966910f5171eee89aea00b7e46664427f5e,EOA
0x6ea21f3583de1c9542fa5eebe4362fa0aa80293c,EOA
0x5a50ddde196bcd65e806273cd665739e3f5d0cf1,EOA
0x4f49c34759b7e888ce77de9dd34fec63d63495cc,EOA
0x316396a841561141aff7aa9de28cdefc4ee40cee,EOA
0x23c4111d6f85de542dd8ad911c7c3cc66e98faa7,EOA
0x5e1610784f0b8c1cd1df8170ec28a59e94cb5c0d,EOA
0x19f8b75a7db0a380a7ef0836acdc59355488977e,EOA
0xf1cb1f23fdae11030edf4c3d390831132d118d8d,EOA
0xba4e3fd5433d6899dde7781319a4ce78f096ed40,EOA
0x26fdc242eccc144971e558ff458a4ec21b75d4e8,EOA
0x7f6287def575a4399ddafa030646a86312cee323,EOA
0x3155974c04340f8dd1a81ad8101e85cfdcb975d8,EOA
0x9ea259e0f084d4f39906c032200f4dda8ea978a8,EOA
0xfea4467286c88297039f262160e6c731d22bc138,EOA
0x459aa3c8807641e642cf48b3420010db1f41e1ad,EOA
0x26b988c8951a8021d97b33eb1b1d74d7becc96b2,EOA
0xb1c5ed53bf5ad7b460c014026cfb12c551d6d337,EOA
0xdbc8a13b6fdee6b1c3b85d0739f495e971f28888,EOA
0xfdd88a45ce43e403ba0c0d6774a13b01b6f75d40,EOA
0x13bdae8c5f0fc40231f0e6a4ad70196f59138548,EOA
0xc17cb209d5abdb2d00f566a1e48f558debc264e1,EOA
0x8b1c032d4d5f0de7bcca90ff28bdd21e257e0ad0,EOA
0x2331f2d4c65155c10f2a3cef4d16f79aa4607e73,Contract
0x4029f1306bdefa6eb6a60083be5db48698787e3f,EOA
0x1768de8f4f23d495c25ee5a25b4e1f8f14670613,EOA
0x9caf9a8a579cae75bfae99d4259ebec86d7da98a,EOA
0x926fc02c90efecc0085320fee1437a1cc80a776f,EOA
0xea172676e4105e92cc52dbf45fd93b274ec96676,EOA
0xe6eec76c1b1577354c07b07fb59abae58dfe5844,EOA
0xfe9d3b6f60f5ca2c76b4b682e497cf04e26e7257,EOA
0x656523b0c243054cf6e1e3868a5cd611c02928f4,EOA
0x818c4ee3c95adf002ace5ff5d8b651ec080d4a65,EOA
0x27c8bc2968c7ce1e943531c7ccf30bffe7b72a88,EOA
0xba40c88d15241da565ec7027c2452ad90b5ada3e,EOA
0xcd18858bbe4aa616c62172c9b43b75700a8eaf47,EOA
0x8dafa267a344a5e74b57cf9e5988f22160388cb1,EOA
0x66cd62c6f8a4bb0cd8720488bcbd1a6221b765f9,EOA
0x74b7e6d4336df8038a44393cac5b7ac53fd75c7a,EOA
0x8415fd30b27c5146db490da95b416d32e44a518c,EOA
0x2cc1ade245020fc5aae66ad443e1f66e01c54df1,Contract
0x80407bbc071c34ab9ad0683c74903aba676775d7,EOA
0xc724e609d9a3968013ef8ce0bf2cb48971a9b01d,EOA
0x35a20b5d8bfbd674cbb9229ca91e012222f82e98,EOA
0x2fc90a857c175e3bfb94b493f76c9a284e2800fe,EOA
0xfbabfd8f520e38d6e2178d018209453e86246274,EOA
0x34ff77a853a14579d2120ac08c5e342cee08ad71,EOA
0x28d9e67aa72214f90d728901df0ddcd15b668151,EOA
0x8516e49d8aef1e926e066a3e634c0254ef5df448,EOA
0xc0a19d8c43dfc9029cfcd6b840a89db3a3daca49,EOA
0x7fbde8b27d2b4f164b66f2a9dc02bbd6697e5b19,EOA
0x2662c3eae22d15e4e740339f3577bb0c3e1820cb,EOA
0xaf090d3e78530b3c9a4ed035bbe09978b560d7ee,EOA
0x269c489623f2a2bc6926d4dda95c31a4007c981d,EOA
0x65829e58c84b8131fb9ab6c3db9f6d984b2e7408,EOA
0xbe13dae86c043cb5c2f898cdd3e6342b4880674f,EOA
0xf358e500bae4bb34b40f1b829262766a8313cb82,EOA
0xe364e90d0a5289bf462a5c9f6e1ccae680215413,EOA
0xe0cd2ccdff77c292b7a3916dffd0b080a7ab19c2,EOA
0xd55f1a96f092829dc0051cc057fe9d6d800f7806,EOA
0x8b9e91bcad6f7118a4df5633f258fa06e34a276a,EOA
0x8e30dc2aef957b1f7dd67b1b7bc651ffe7e17a06,EOA
0x1d921dff757610fbdb0073479e12c0a07d382677,EOA
0x99ee69c12b86e71b8a3cda9f45da174bf9ef6b4c,EOA
0x7e67b814795ab7206b879f62b709283cb11a84dc,EOA
0x7f61c86b23212c709dbff02a5cc35557ef5f4d72,EOA
0xea5bbad59c45a02ac0b0f48c9b4b7ccbccd73c36,EOA
0x24a17e3d1b4bcccb1d17c93c0d78cf8ede8ea095,EOA
0xb933aee47c438f22de0747d57fc239fe37878dd1,EOA
0xf0850ba9bb1a694b86c0c11e8d983f789e54e08e,EOA
0x29175951fdd0313530796958cd479dca087e24ed,EOA
0x66cd62c6f8a4bb0cd8720488bcbd1a6221b765f9,EOA
0xb85737d0d9c81e4cfaa6453374d08bea87e1c705,EOA
0x779eecc02964a43a52780341b74df86314c90d1a,EOA
0x97d5bd51a9ac3c42782dc0eee9edf2e4aecf0815,EOA
0xea172676e4105e92cc52dbf45fd93b274ec96676,EOA
0x48c457867ddefe44737307367f651ac9c0792048,EOA
0x5bfcb4be4d7b43437d5a0c57e908c048a4418390,EOA
0xbf4c796931727fce4b42e8a7f1b284681a0d5a7c,EOA
0x3be394bf4a6320a049354ad55b889d815bc3e156,EOA
0xbf3140fe434e3c34b1a44ced4b8f5d5fac0c2f26,EOA
0xfe5ccf60faff6e336b2547540ddff3f7fa32bd6a,EOA
0xd1272d102e4ec5cd430bbacf8e903cbe10506424,EOA
0xd5d171a9aa125af13216c3213b5a9fc793fccf2c,EOA
0x6dbc1de925ed37d76bf6b00f4c0615f29aae790b,EOA
0x30e48b2d213d9890909b6d5b397a08d7bed498f5,EOA
0x7b3c54e17d618cc94dadfe7671c1e2f50c4ecc33,Contract
0xd14ba6be35bd1f7110bac569038b9c832085e318,EOA
0xa36f0b0300da556e151ec1a51c7a3841ba8ef183,EOA
0x5826ab4bd574502b75865cd6d62163608585be5e,EOA
0xebd9374d22050b979eb4fcc27c8a01ca9d49b86e,EOA
0x767a60f295aedd958932088f9cd6a4951d8739b6,EOA
0x3274f4b644b4129fd70502534b1269d72623ca96,EOA
0xf844989ab675cb7da9f2eaa3d274dfe66c9502ce,EOA
0x061b3aca61570fa4259198d8dd7f9ea1221b767d,EOA
0xfd2aa8898ae75073cf897cd000751580bf23d58d,EOA
0x2df9a188fbe231b0dc36d14aceb65defbb049479,EOA
0xe8e83ddfc373bbbd22edf5a80a30ec7ded8f2b47,EOA
